no,sex,age,p1,p2,p3,p4,p5,p6,p7,y
303,2,38,0,1,1,1,1,1,1,6
304,1,55,0,0,1,0,1,1,1,4
305,2,38,0,1,1,0,1,1,0,4
306,2,23,1,1,1,0,1,1,0,5
307,1,17,0,0,0,1,0,1,0,2
308,2,41,0,0,1,0,1,1,0,3
309,2,32,0,0,1,0,0,1,0,2
310,1,32,1,1,1,1,1,1,1,7
311,1,43,1,0,1,0,1,1,1,5
312,2,28,0,0,1,0,0,1,1,3
313,1,58,0,1,1,0,1,1,1,5
314,1,26,1,1,1,0,0,1,1,5
315,2,41,0,1,1,0,0,1,0,3
316,2,52,1,1,1,1,1,1,0,6
317,1,58,1,1,1,1,1,1,0,6
318,1,38,0,0,0,0,0,1,0,1
319,1,32,0,0,1,0,0,1,1,3
320,2,44,0,0,1,0,1,1,1,4
321,1,54,1,0,1,1,1,1,1,6
322,1,38,0,0,1,0,0,1,0,2
323,1,36,0,0,1,0,0,1,0,2
324,2,26,1,1,1,1,1,1,0,6
325,2,54,0,0,1,1,1,1,0,4
326,2,37,0,0,1,0,0,1,0,2
327,2,42,0,0,0,0,1,0,0,1
328,2,35,0,0,1,0,1,0,1,3
329,2,33,0,0,1,0,0,1,0,2
330,1,26,0,0,1,0,1,0,1,3
331,2,31,0,0,1,0,1,1,1,4
332,1,48,1,1,1,1,1,1,1,7
333,1,36,1,0,1,1,0,1,0,4
334,2,50,0,0,1,0,0,1,1,3
335,2,28,0,1,1,0,1,1,0,4
336,1,39,1,1,1,0,1,0,0,4
337,1,50,0,0,0,0,0,1,0,1
338,2,55,0,0,1,0,0,1,0,2
339,2,25,0,0,1,1,0,1,1,4
340,2,23,0,1,1,1,1,1,1,6
341,2,38,1,0,1,1,0,1,0,4
342,1,47,1,1,1,1,1,1,1,7
343,2,33,1,1,1,1,1,1,1,7
344,2,39,0,0,1,1,1,1,0,4
345,1,53,1,1,1,1,1,1,1,7
346,1,49,0,0,1,0,1,1,0,3
347,1,47,0,0,1,1,1,1,0,4
348,1,25,0,1,1,0,1,1,0,4
349,1,47,1,0,1,0,1,1,0,4
350,2,35,1,1,1,1,1,1,1,7
351,2,28,1,1,1,1,1,1,1,7
352,1,37,0,0,1,0,1,1,1,4
353,1,42,0,0,1,0,1,1,0,3
354,1,31,0,1,1,0,1,1,0,4
355,2,22,0,0,1,0,0,1,0,2
356,2,26,0,0,1,0,1,1,1,4
357,2,46,0,0,1,0,0,1,0,2
358,2,47,0,1,1,1,1,1,0,5
359,1,26,1,1,1,1,1,1,1,7
360,2,42,1,1,1,0,1,0,0,4
361,1,31,1,0,1,1,1,1,1,6
362,2,44,0,0,1,1,1,1,1,5
363,2,25,1,1,1,0,0,1,1,5
364,1,55,0,0,1,0,1,1,0,3
365,1,56,0,1,1,0,0,1,1,4
366,2,37,0,1,1,0,1,1,1,5
367,2,49,0,1,1,0,0,1,0,3
368,1,19,0,0,1,0,1,1,1,4
369,1,27,0,0,1,0,0,1,1,3
370,2,48,1,1,1,1,1,0,0,5
371,1,45,0,0,1,0,1,1,0,3
372,2,30,0,0,1,0,1,1,0,3
373,1,45,0,1,1,0,1,1,0,4
374,1,58,1,1,1,0,1,1,1,6
375,1,35,0,0,1,0,0,1,0,2
376,1,54,1,1,1,1,1,1,0,6
377,2,29,0,0,1,0,1,1,0,3
378,1,39,0,0,1,0,1,0,0,2
379,2,21,1,1,1,1,0,1,1,6
380,2,41,1,1,1,1,1,1,1,7
381,1,33,0,0,1,0,0,1,1,3
382,2,21,1,1,1,1,1,1,1,7
383,2,33,1,1,1,1,1,1,1,7
384,2,59,0,1,1,1,1,1,0,5
385,1,59,0,0,1,0,0,1,1,3
386,2,29,0,0,1,0,0,1,0,2
387,2,49,0,0,1,0,1,1,1,4
388,1,39,1,1,1,1,1,1,1,7
389,2,26,1,1,1,1,1,1,1,7
390,2,32,0,0,1,1,1,1,1,5
391,2,27,0,0,1,1,1,1,0,4
392,1,54,0,1,1,1,1,1,0,5
393,2,40,0,0,1,0,0,1,1,3
394,1,24,0,0,1,0,1,1,0,3
395,1,40,0,0,1,0,0,1,0,2
396,1,56,0,0,1,0,0,1,0,2
397,2,44,0,1,1,0,1,1,0,4
398,1,43,0,0,1,0,0,1,0,2
399,1,49,0,1,1,1,1,1,0,5
400,1,51,0,0,1,0,0,1,0,2
