rt,sub,cond
1.8526,3,1
1.3952,3,1
1.6818,3,1
1.0333,3,1
0.7053,3,1
1.6914,3,1
1.2477,3,1
0.83548,3,1
1.1293,3,1
0.88722,3,1
2.7682,3,1
0.94837,3,1
0.90586,3,1
1.4357,3,1
0.79475,3,1
1.4436,3,1
1.3742,3,1
1.1975,3,1
2.553,3,1
1.6162,3,1
1.5174,3,1
3.1066,3,1
3.1125,3,1
1.2733,3,1
1.9893,3,1
5.1983,3,1
1.2969,3,1
0.77844,3,1
1.2075,3,1
1.5772,3,1
0.98835,3,1
1.2879,3,1
0.70454,3,1
0.94023,3,1
1.6652,3,1
1.436,3,1
0.66863,3,1
2.2629,3,1
0.81802,3,1
1.2315,3,1
1.7648,3,1
1.2641,3,1
2.3476,3,1
15.387,3,1
1.5628,3,1
1.8597,3,1
11.684,3,1
4.4062,3,1
1.4424,3,1
2.1904,3,1
2.0375,3,2
3.1176,3,2
1.5081,3,2
13.755,3,2
1.5291,3,2
4.8254,3,2
2.0537,3,2
1.9666,3,2
2.0377,3,2
1.8986,3,2
2.5967,3,2
1.6256,3,2
1.2634,3,2
1.558,3,2
3.895,3,2
1.7669,3,2
3.7355,3,2
4.9917,3,2
1.9122,3,2
2.0633,3,2
1.9321,3,2
12.417,3,2
4.686,3,2
2.5539,3,2
1.518,3,2
0.92152,3,2
1.2334,3,2
1.1874,3,2
1.7923,3,2
0.92834,3,2
1.8092,3,2
1.1405,3,2
4.949,3,2
1.8051,3,2
2.4614,3,2
2.8594,3,2
2.728,3,2
4.0983,3,2
3.373,3,2
2.2014,3,2
1.8626,3,2
2.3213,3,2
2.7249,3,2
1.844,3,2
1.5072,3,2
2.9664,3,2
19.545,3,2
1.9934,3,2
2.548,4,1
1.8861,4,1
1.4192,4,1
1.1229,4,1
1.337,4,1
1.6798,4,1
1.2733,4,1
1.4727,4,1
2.9952,4,1
1.408,4,1
2.5494,4,1
2.0395,4,1
4.054,4,1
1.468,4,1
1.3469,4,1
0.65812,4,1
8.7933,4,1
10.924,4,1
1.9133,4,1
2.1034,4,1
4.3517,4,1
8.5299,4,1
1.5604,4,1
4.7828,4,1
1.1183,4,1
1.9301,4,1
1.2499,4,1
1.3455,4,1
2.4678,4,1
2.3892,4,1
5.3523,4,1
0.82539,4,1
2.4153,4,1
2.7156,4,1
2.1983,4,1
3.3996,4,1
1.5807,4,1
2.9173,4,1
1.3479,4,1
7.9976,4,1
1.8235,4,1
14.092,4,1
1.9671,4,1
2.3143,4,1
1.814,4,1
4.3081,4,1
52.646,4,1
2.3364,4,1
0.76395,4,1
1.8767,4,1
1.3929,4,1
0.9194,4,1
1.02,4,1
0.96213,4,1
1.0337,4,1
1.0868,4,1
1.569,4,1
7.3432,4,1
5.9893,4,1
0.94884,4,1
1.407,4,1
2.4035,4,1
