ID,C,U,A,Delay
6,1,44,44,1
6,1,50,40,30
6,1,40,40,7
6,0,44,44,30
6,0,50,50,30
6,0,50,11,3
6,1,44,50,3
6,0,44,40,13
6,1,50,44,1
6,0,11,11,30
6,1,44,50,7
6,1,44,50,1
6,1,11,44,1
6,1,11,40,7
6,1,11,50,30
6,0,40,40,30
6,1,40,44,1
6,1,40,40,1
6,0,44,11,3
6,1,40,40,13
6,1,11,50,1
6,1,50,40,7
6,1,50,50,1
6,1,44,40,3
6,0,40,11,30
6,1,44,11,1
6,1,11,40,13
6,1,11,44,3
6,1,11,44,7
6,1,44,40,7
6,1,40,40,3
6,0,40,11,7
6,1,11,50,7
6,1,40,50,1
6,1,11,50,13
6,1,11,40,1
6,0,44,11,13
6,1,44,50,13
6,1,50,40,1
6,1,44,44,3
6,0,44,40,30
6,0,44,11,30
6,1,40,44,3
6,1,11,44,30
6,0,11,11,3
6,1,50,44,30
6,1,40,50,7
6,0,40,11,3
6,1,11,44,13
6,0,44,11,7
6,0,40,44,7
6,0,44,44,13
6,0,11,11,1
6,0,50,11,13
6,1,50,40,13
6,1,44,44,7
6,1,50,44,13
6,0,40,50,30
6,0,40,44,30
6,1,50,50,7
6,1,40,50,3
6,1,50,44,3
7,0,88,83,3
7,0,83,83,30
7,1,83,64,3
7,1,12,83,3
7,1,12,83,1
7,1,12,64,7
7,0,64,83,30
7,1,64,64,3
7,1,12,64,1
7,0,64,12,7
7,1,88,64,3
7,1,64,88,7
7,1,12,83,13
7,0,83,12,30
7,1,12,88,3
7,0,88,83,30
7,0,88,88,13
7,0,83,12,13
7,0,64,12,3
7,1,88,88,3
7,0,88,83,13
7,0,88,12,3
7,0,12,12,7
7,1,83,83,1
7,1,12,12,1
7,1,88,88,1
7,0,88,12,13
7,0,64,88,30
7,1,88,88,7
7,1,12,88,30
7,0,83,12,7
7,0,12,12,30
7,1,64,64,1
7,0,64,83,13
7,0,83,12,3
7,0,64,12,1
7,0,88,64,7
7,0,64,88,13
7,0,64,64,30
7,1,88,83,1
7,0,88,12,30
7,0,83,64,7
7,0,12,64,30
7,1,83,88,7
7,0,83,88,13
7,0,83,64,30
7,0,88,12,1
7,1,83,83,3
7,0,88,64,30
7,0,83,64,13
7,1,12,83,7
7,0,12,12,13
7,0,64,64,13
